Source,Target,Weight,Type
chatbot_0,chatbot_2,6,undirected
chatbot_0,latam_60,5,undirected
chatbot_0,spain_237,1,undirected
chatbot_1,latam_117,1,undirected
chatbot_1,latam_29,6,undirected
chatbot_1,spain_32,2,undirected
chatbot_10,chatbot_16,1,undirected
chatbot_10,chatbot_18,1,undirected
chatbot_10,chatbot_25,2,undirected
chatbot_10,chatbot_27,2,undirected
chatbot_10,chatbot_3,3,undirected
chatbot_10,chatbot_4,3,undirected
chatbot_10,chatbot_6,6,undirected
chatbot_11,chatbot_6,3,undirected
chatbot_11,latam_60,2,undirected
chatbot_11,spain_84,1,undirected
chatbot_12,latam_28,2,undirected
chatbot_12,latam_44,3,undirected
chatbot_12,latam_54,1,undirected
chatbot_13,chatbot_17,3,undirected
chatbot_13,chatbot_35,1,undirected
chatbot_13,latam_118,2,undirected
chatbot_14,chatbot_30,2,undirected
chatbot_14,latam_117,3,undirected
chatbot_14,latam_28,1,undirected
chatbot_15,chatbot_7,2,undirected
chatbot_15,latam_54,3,undirected
chatbot_15,latam_86,1,undirected
chatbot_16,chatbot_10,1,undirected
chatbot_16,chatbot_27,2,undirected
chatbot_16,chatbot_6,3,undirected
chatbot_17,chatbot_13,3,undirected
chatbot_17,chatbot_25,3,undirected
chatbot_17,chatbot_26,1,undirected
chatbot_17,spain_178,2,undirected
chatbot_17,spain_196,3,undirected
chatbot_17,spain_211,1,undirected
chatbot_18,chatbot_10,1,undirected
chatbot_18,chatbot_23,2,undirected
chatbot_18,chatbot_24,2,undirected
chatbot_18,spain_120,3,undirected
chatbot_19,chatbot_28,2,undirected
chatbot_19,chatbot_35,3,undirected
chatbot_19,chatbot_5,3,undirected
chatbot_19,chatbot_8,1,undirected
chatbot_19,latam_157,2,undirected
chatbot_19,latam_159,2,undirected
chatbot_19,latam_17,3,undirected
chatbot_19,latam_83,1,undirected
chatbot_19,spain_178,1,undirected
chatbot_19,spain_196,3,undirected
chatbot_19,spain_206,2,undirected
chatbot_2,chatbot_0,6,undirected
chatbot_2,latam_54,1,undirected
chatbot_2,latam_70,2,undirected
chatbot_2,spain_222,2,undirected
chatbot_20,latam_117,2,undirected
chatbot_20,latam_23,1,undirected
chatbot_20,spain_178,3,undirected
chatbot_21,chatbot_22,1,undirected
chatbot_21,latam_132,1,undirected
chatbot_21,spain_201,2,undirected
chatbot_21,spain_206,3,undirected
chatbot_22,chatbot_21,1,undirected
chatbot_22,chatbot_26,4,undirected
chatbot_22,chatbot_27,5,undirected
chatbot_22,chatbot_3,2,undirected
chatbot_23,chatbot_18,2,undirected
chatbot_23,spain_120,2,undirected
chatbot_23,spain_160,3,undirected
chatbot_23,spain_37,1,undirected
chatbot_24,chatbot_18,2,undirected
chatbot_24,chatbot_30,1,undirected
chatbot_24,spain_42,3,undirected
chatbot_25,chatbot_10,2,undirected
chatbot_25,chatbot_17,3,undirected
chatbot_25,chatbot_26,1,undirected
chatbot_26,chatbot_17,1,undirected
chatbot_26,chatbot_22,4,undirected
chatbot_26,chatbot_25,1,undirected
chatbot_26,chatbot_27,6,undirected
chatbot_27,chatbot_10,2,undirected
chatbot_27,chatbot_16,2,undirected
chatbot_27,chatbot_22,5,undirected
chatbot_27,chatbot_26,6,undirected
chatbot_27,chatbot_3,1,undirected
chatbot_27,chatbot_6,2,undirected
chatbot_27,chatbot_7,3,undirected
chatbot_28,chatbot_19,2,undirected
chatbot_28,latam_132,1,undirected
chatbot_28,spain_128,1,undirected
chatbot_28,spain_187,3,undirected
chatbot_28,spain_31,1,undirected
chatbot_29,latam_88,2,undirected
chatbot_29,spain_42,1,undirected
chatbot_29,spain_72,3,undirected
chatbot_3,chatbot_10,3,undirected
chatbot_3,chatbot_22,2,undirected
chatbot_3,chatbot_27,1,undirected
chatbot_30,chatbot_14,2,undirected
chatbot_30,chatbot_24,1,undirected
chatbot_30,chatbot_33,1,undirected
chatbot_30,latam_10,2,undirected
chatbot_30,latam_102,2,undirected
chatbot_30,latam_11,1,undirected
chatbot_30,latam_119,2,undirected
chatbot_30,latam_128,1,undirected
chatbot_30,latam_23,2,undirected
chatbot_30,latam_34,2,undirected
chatbot_30,latam_44,5,undirected
